state_name,lga_name,pop,pop(10000)
Taraba,Ardo-Kola,129157,12.9157
Taraba,Bali,371219,37.1219
Taraba,Donga,208365,20.8365
Taraba,Gashaka,97738,9.7738
Taraba,Gassol,551775,55.1775
Taraba,Ibi,112122,11.2122
Taraba,Jalingo,319817,31.9817
Taraba,Karim Lamido,298359,29.8359
Taraba,Kurmi,91719,9.1719
Taraba,Lau,163365,16.3365
Taraba,Sardauna,276098,27.6098
Taraba,Takum,317266,31.7266
Taraba,Ussa,137198,13.7198
Taraba,Wukari,466233,46.6233
Taraba,Yorro,212386,21.2386
Taraba,Zing,475688,47.5688
Yobe,Bade,164042,16.4042
Yobe,Bursari,137132,13.7132
Yobe,Damaturu,262970,26.297
Yobe,Fika,224548,22.4548
Yobe,Fune,279803,27.9803
Yobe,Geidam,211705,21.1705
Yobe,Gujba,232536,23.2536
Yobe,Gulani,208964,20.8964
Yobe,Jakusko,169834,16.9834
Yobe,Karasuwa,102879,10.2879
Yobe,Machina,106158,10.6158
Yobe,Nangere,202820,20.282
Yobe,Nguru,160624,16.0624
Yobe,Potiskum,435233,43.5233
Yobe,Tarmuwa,129830,12.983
Yobe,Yunusari,208197,20.8197
Yobe,Yusufari,172083,17.2083
Zamfara,Anka,147433,14.7433
Zamfara,Bakura,156088,15.6088
Zamfara,Birnin Magaji-Kiyaw,195742,19.5742
Zamfara,Bukkuyum,237082,23.7082
Zamfara,Bungudu,322815,32.2815
Zamfara,Gummi,271521,27.1521
Zamfara,Gusau,465871,46.5871
Zamfara,Kaura Namoda,261690,26.169
Zamfara,Maradun,181721,18.1721
Zamfara,Maru,380664,38.0664
Zamfara,Shinkafi,130267,13.0267
Zamfara,Talata Mafara,190256,19.0256
Zamfara,Tsafe,264298,26.4298
Zamfara,Zurmi,251732,25.1732
